Plaatsnaam;Provincie;Latitude;Longitude
Dirksland;Zuid-Holland;517.506.355;40.920.971
Dodewaard;Gelderland;519.105.136;56.568.202
Doenrade;Limburg;509.677.447;59.064.088
Doesburg;Gelderland;520.253.273;6.155.837
Doetinchem;Gelderland;51.983.626;62.910.285
Doezum;Groningen;531.999.099;62.485.292
Dokkum;Friesland;533.132.949;59.912.638
Doldersum;Drenthe;52.886.922;62.458.838
Domburg;Zeeland;515.634.575;34.998.639
Donderen;Drenthe;530.956.393;65.462.217
Dongen;Noord-Brabant;516.156.704;49.304.565
Dongjum;Friesland;532.084.093;55.431.818
Doniaga;Friesland;529.056.497;5.747.647
Donkerbroek;Friesland;530.173.249;62.349.711
Doorn;Utrecht;520.346.547;53.456.721
Doornenburg;Gelderland;518.899.909;59.996.818
Doornspijk;Gelderland;524.182.772;58.176.767
Doorwerth;Gelderland;519.799.552;57.998.237
Dordrecht;Zuid-Holland;51.812.128.968.821;46.683.770.459.046
Dorst;Noord-Brabant;515.906.836;48.582.707
Drachten;Friesland;531.241.789;60.959.499
Drachtstercompagnie;Friesland;531.340.722;61.399.365
Dreischor;Zeeland;51.689.295;39.831.787
Drempt;Gelderland;52.007.799;61.740.024
Dreumel;Gelderland;518.505.405;54.292.507
Driebergen-Rijsenburg;Utrecht;520.360.718;52.778.915
Drieborg;Groningen;532.060.039;71.813.281
Driebruggen;Zuid-Holland;520.440.942;48.003.904
Driehuis;Noord-Holland;524.470.055;46.362.986
Driehuizen;Noord-Holland;525.779.152;48.073.131
Driel;Gelderland;519.621.243;58.119.397
Driewegen;Zeeland;514.183.279;38.029.224
Driezum;Friesland;532.968.837;6.045.633
Drijber;Drenthe;527.918.146;65.386.597
Drimmelen;Noord-Brabant;517.085.524;48.034.905
Drogeham;Friesland;53.201.959;61.111.271
Drogteropslagen;Drenthe;526.224.364;64.977.465
Drongelen;Noord-Brabant;51.715.221;50.535.523
Dronryp;Friesland;531.966.063;56.449.476
Dronten;Flevoland;525.254.518;57.319.345
Drouwen;Drenthe;529.509.555;67.973.295
Drouwenermond;Drenthe;529.786.094;69.059.109
Drouwenerveen;Drenthe;529.700.625;68.499.816
Drunen;Noord-Brabant;516.800.524;5.122.521
Druten;Gelderland;518.763.133;56.055.848
Duiven;Gelderland;519.460.046;59.943.491
Duivendrecht;Noord-Holland;52.332.886;49.412.022
Duizel;Noord-Brabant;513.689.175;52.966.333
Dussen;Noord-Brabant;517.300.853;49.636.688
Dwingeloo;Drenthe;528.353.557;63.658.171
Eagum;Friesland;531.306.799;58.290.237
Earnewâld;Friesland;5.313.121;594.211
Easterein;Friesland;530.972.592;56.189.034
Easterlittens;Friesland;531.353.215;56.501.712
Eastermar;Friesland;531.768.959;60.572.678
Easterwierrum;Friesland;531.100.959;57.324.943
Echt;Limburg;510.883.636;58.998.456
Echteld;Gelderland;519.090.624;54.987.853
Echten;Friesland;528.765.088;57.952.089
Echten;Drenthe;527.120.531;63.989.238
Echtenerbrug;Friesland;528.733.749;5.822.319
Eck en Wiel;Gelderland;519.703.135;54.566.052
Eckelrade;Limburg;508.036.588;57.646.006
Edam;Noord-Holland;525.126.367;50.491.819
Ede;Gelderland;520.641.306;57.020.638
Ederveen;Gelderland;520.628.171;55.789.161
Ee;Friesland;533.304.259;61.008.417
Eede;Zeeland;512.468.297;34.431.473
Eefde;Gelderland;521.640.328;62.314.647
Eelde;Drenthe;531.331.083;6.564.273
Eelderwolde;Drenthe;531.787.103;65.425.821
Eemdijk;Utrecht;522.540.881;53.304.132
Eemnes;Utrecht;522.537.461;52.612.754
Eemshaven;Groningen;534.475;6.801.389
Een;Drenthe;530.744.772;6.393.004
Een West;Drenthe;530.844.152;63.392.795
Eenrum;Groningen;533.646.973;64.610.716
Eenum;Groningen;533.394.215;67.798.369
Eerbeek;Gelderland;521.031.259;60.600.069
Eersel;Noord-Brabant;513.578.078;53.159.125
Eerste Exloërmond;Drenthe;52.95;69.666.667
Ees;Drenthe;529.082.324;68.061.317
Eesergroen;Drenthe;52.886.185;67.764.114
Eeserveen;Drenthe;52.863.745;67.605.608
Eesterga;Friesland;52.868.055;57.283.961
Eesveen;Overijssel;528.243.647;6.142.197
Eethen;Noord-Brabant;517.330.603;50.525.521
Eext;Drenthe;530.177.945;67.357.844
Eexterveen;Drenthe;530.523.249;68.040.642
Eexterveensche kanaal;Drenthe;530.592.081;6.831.961
Eexterzandvoort;Drenthe;530.324.155;67.867.326
Egchel;Limburg;513.134.105;59.713.597
Egmond aan Den Hoef;Noord-Holland;526.209.748;46.531.215
Egmond aan Zee;Noord-Holland;526.186.114;46.302.431
Egmond-Binnen;Noord-Holland;525.938.149;46.560.387
Eibergen;Gelderland;520.768.461;66.745.884
Eijsden;Limburg;507.773.424;57.077.516
Eindhoven;Noord-Brabant;514.403.803;54.092.813
Einighausen;Limburg;510.022.236;58.266.196
Ekehaar;Drenthe;529.530.557;66.027.332
